Actual,Predicted,Anomaly_Score
BENIGN,ATTACK,-0.2683178846668143
BENIGN,ATTACK,-0.26552315508290947
BENIGN,ATTACK,-0.2632581210882299
BENIGN,ATTACK,-0.25862455294888
BENIGN,ATTACK,-0.25759869720376793
BENIGN,ATTACK,-0.25759869720376793
BENIGN,ATTACK,-0.2575398864755237
BENIGN,ATTACK,-0.2569800636462394
BENIGN,ATTACK,-0.2565742286797861
BENIGN,ATTACK,-0.2555511455010544
BENIGN,ATTACK,-0.2545294457942291
BENIGN,ATTACK,-0.25401911415805445
BENIGN,ATTACK,-0.25401911415805445
BENIGN,ATTACK,-0.25391331850014254
BENIGN,ATTACK,-0.2535091276885002
BENIGN,ATTACK,-0.2523408476032425
BENIGN,ATTACK,-0.25219006366833085
BENIGN,ATTACK,-0.2521126130464051
BENIGN,ATTACK,-0.2519812369457898
BENIGN,ATTACK,-0.2519812369457898
BENIGN,ATTACK,-0.25187572722036466
BENIGN,ATTACK,-0.2517729401398664
BENIGN,ATTACK,-0.25147262880973587
BENIGN,ATTACK,-0.25147262880973587
BENIGN,ATTACK,-0.25147262880973587
BENIGN,ATTACK,-0.25147262880973587
BENIGN,ATTACK,-0.25147262880973587
BENIGN,ATTACK,-0.25096436467460015
BENIGN,ATTACK,-0.250815325782502
BENIGN,ATTACK,-0.25064922079340024
BENIGN,ATTACK,-0.24994886747657075
BENIGN,ATTACK,-0.24994886747657075
BENIGN,ATTACK,-0.24986789644995377
BENIGN,ATTACK,-0.2498436429108467
BENIGN,ATTACK,-0.2494416339488138
BENIGN,ATTACK,-0.2494416339488138
BENIGN,ATTACK,-0.2494416339488138
BENIGN,ATTACK,-0.2494416339488138
BENIGN,ATTACK,-0.24942380369280792
BENIGN,ATTACK,-0.24936071768755652
BENIGN,ATTACK,-0.24856039860569834
BENIGN,ATTACK,-0.24809707875061682
BENIGN,ATTACK,-0.24797337006372344
BENIGN,ATTACK,-0.24741612823010006
BENIGN,ATTACK,-0.24731125903045337
BENIGN,ATTACK,-0.24711802633795588
BENIGN,ATTACK,-0.24711802633795588
BENIGN,ATTACK,-0.2469106077394828
BENIGN,ATTACK,-0.2469106077394828
BENIGN,ATTACK,-0.24674536660215085
BENIGN,ATTACK,-0.24665759589753966
BENIGN,ATTACK,-0.2466127074707839
BENIGN,ATTACK,-0.2466127074707839
BENIGN,ATTACK,-0.2466127074707839
BENIGN,ATTACK,-0.2466127074707839
BENIGN,ATTACK,-0.24649241073473016
BENIGN,ATTACK,-0.2463007017719474
BENIGN,ATTACK,-0.2457959357083609
BENIGN,ATTACK,-0.24576882703977698
BENIGN,ATTACK,-0.24539609681816443
BENIGN,ATTACK,-0.24478742755718963
BENIGN,ATTACK,-0.24397134468895798
BENIGN,ATTACK,-0.24388465687121297
BENIGN,ATTACK,-0.2438116738752366
BENIGN,ATTACK,-0.24379473430711762
BENIGN,ATTACK,-0.24302619671800663
BENIGN,ATTACK,-0.24287919961907323
BENIGN,ATTACK,-0.242774500698837
